meet_external_id,meet_name,meet_date,event,event_class,place,athlete_name,birth_year,club,result,wind,is_indoor
10008413,Full Moon Jump,2026-01-24,Lengde,Menn Senior,1,Simen Gimnes,2003,Sportsklubben Vidar,7.20,,True
10008413,Full Moon Jump,2026-01-24,Tresteg,Kvinner Senior,4,Julie Margrete Gaustad,1996,Dimna IL,12.24,,True
10008413,Full Moon Jump,2026-01-24,Tresteg,Kvinner Senior,5,Mathilde Sofie Klokseth,2003,IK Tjalve,12.20,,True
10008413,Full Moon Jump,2026-01-24,Tresteg,Kvinner Senior,8,Elise Sanden Søvik,1997,IK Tjalve,11.71,,True
10008413,Full Moon Jump,2026-01-24,Tresteg,Kvinner Senior,9,Guro Navelsaker Hjeltnes,2004,IK Tjalve,11.05,,True
10008414,Cyclone Open,2026-01-23,400 meter,Menn Senior,5,Robert Hansen,1975,Ullensaker/Kisa IL,54.12,,True
10008412,BAUHAUS-galan Indoor,2026-01-22,400 meter,Menn Senior,3,Andreas Grimerud,2003,Moelven IL,47.02,,True
10008412,BAUHAUS-galan Indoor,2026-01-22,1500 meter,Menn Senior,1,Håkon Moe Berg,2006,Kyrksæterøra IL,3.34.32,,True
10008412,BAUHAUS-galan Indoor,2026-01-22,1500 meter,Menn Senior,4,Andreas Kramer,1997,Ullensaker/Kisa IL,3.39.92,,True
10008412,BAUHAUS-galan Indoor,2026-01-22,1500 meter,Menn Senior,7,Kristoffer Sagli,2002,Aure IL,3.48.91,,True
10008412,BAUHAUS-galan Indoor,2026-01-22,Høyde,Menn Senior,5,Erlend Bolstad Raa,2000,Fyllingen IL,2.16,,True
10008412,BAUHAUS-galan Indoor,2026-01-22,400 meter,Kvinner Senior,2,Line Al-Saiddi,2006,Idrettslaget Skjalg,55.32,,True
10008412,BAUHAUS-galan Indoor,2026-01-22,400 meter,Kvinner Senior,3,Anne Tharaldsen Danielsen,2004,Fyllingen IL,56.22,,True
10008412,BAUHAUS-galan Indoor,2026-01-22,1500 meter,Kvinner Senior,2,Anne Gine Løvnes,2003,IK Tjalve,4.11.66,,True
10008412,BAUHAUS-galan Indoor,2026-01-22,Stav,Kvinner Senior,4,Kitty Augusta Friele Faye,2002,Fana IL,4.27,,True
10008404,Treningsstevne,2026-01-21,100 meter,Gutter 13,1,Edward Sæther,2013,Bodø Friidrettsklubb,20.18,,True
10008404,Treningsstevne,2026-01-21,"Kule 3,0kg",Gutter 13,1,Edward Sæther,2013,Bodø Friidrettsklubb,6.09,,True
10008404,Treningsstevne,2026-01-21,100 meter,Gutter 14,1,Vebjørn Ness Gravrok,2012,Bodø Friidrettsklubb,15.67,,True
10008404,Treningsstevne,2026-01-21,100 meter,Gutter 14,2,William Edvardsen Mella,2012,Bodø Friidrettsklubb,17.88,,True
10008404,Treningsstevne,2026-01-21,Høyde,Gutter 14,1,Vebjørn Ness Gravrok,2012,Bodø Friidrettsklubb,1.20,,True
10008404,Treningsstevne,2026-01-21,100 meter,Jenter 13,1,Tuva Rasmussen Koi,2013,Bodø Friidrettsklubb,16.61,,True
10008404,Treningsstevne,2026-01-21,100 meter,Jenter 14,1,Catharina Sofie-Aune Rambjør,2012,Bodø Friidrettsklubb,13.83,,True
10008404,Treningsstevne,2026-01-21,100 meter,Jenter 15,1,Else Isachsen Aune,2011,Bodø Friidrettsklubb,13.60,,True
10008407,Tampere Indoor Meeting,2026-01-21,60 meter,Menn Senior,8,Sondre Matias Rudi,2000,Moelven IL,7.28,,True
10008403,Seriestevne,2026-01-20,Lengde,Menn veteran 60-64,1,Oddvar Viulsrød,1964,Tønsberg Friidrettsklubb,5.49,,True
10008403,Seriestevne,2026-01-20,Tresteg,Menn veteran 60-64,1,Oddvar Viulsrød,1964,Tønsberg Friidrettsklubb,11.49,,True
10008403,Seriestevne,2026-01-20,Høyde uten tilløp,Menn veteran 80-84,1,John Erik Hoel,1943,Tønsberg Friidrettsklubb,0.95,,True
10008403,Seriestevne,2026-01-20,Lengde,Menn veteran 80-84,1,John Erik Hoel,1943,Tønsberg Friidrettsklubb,3.17,,True
10008403,Seriestevne,2026-01-20,Lengde uten tilløp,Menn veteran 80-84,1,John Erik Hoel,1943,Tønsberg Friidrettsklubb,2.16,,True
10008403,Seriestevne,2026-01-20,Høyde uten tilløp,Menn veteran 85-89,1,Gunnar Olav Hansen,1938,Tønsberg Friidrettsklubb,0.75,,True
10008403,Seriestevne,2026-01-20,Lengde,Menn veteran 85-89,1,Gunnar Olav Hansen,1938,Tønsberg Friidrettsklubb,2.47,,True
10008403,Seriestevne,2026-01-20,Lengde uten tilløp,Menn veteran 85-89,1,Gunnar Olav Hansen,1938,Tønsberg Friidrettsklubb,1.64,,True
10008403,Seriestevne,2026-01-20,Høyde uten tilløp,Menn veteran 90-94,1,Arne Ueland,1934,Tønsberg Friidrettsklubb,0.85,,True
