New Athletes Report - 2026-02-13 12:27:06
Total: 47 new athletes
============================================================

  Ingvild Larsen (F, 1975) - Laksevåg TIL
  Ingvild Okparaebo (F, 1975) - Laksevåg TIL
  Ingvild Okparaebo (F, 1975) - Laksevåg TIL
  Ingvild Okparaebo (F, 1975) - Laksevåg TIL
  Ingvild Okparaebo (F, 1975) - Laksevåg TIL
  Ingvild Okparaebo (F, 1975) - Laksevåg TIL
  Folake Okparaebo (F, 1990) - IL i BUL
  Folake Okparaebo (F, 1990) - IL i BUL
  Folake Okparaebo (F, 1990) - IL i BUL
  Folake Okparaebo (F, 1990) - IL i BUL
  Folake Okparaebo (F, 1990) - IL i BUL
  Anne Cathrine Bakken (F, 1983) - IK Tjalve
  Karoline Tjelta Larsen (F, 1986) - IL Skjalg
  Caroline Pedersen (F, 1990) - IL Runar
  Kristin Gussgard Gran (F, 1962) - Fossum IF
  Lena Moe (F, 1971) - Sørum IL
  Silje Rasmussen (F, 1973) - IL i BUL
  Stine Eriksen (F, 1989) - Strømmen IF
  Camilla Ulvøy Johansen (F, 1983) - SK Vidar
  Cecilie Veronica Olsen (F, 1993) - Fredrikstad IF
  Berit Nilsen (F, 1969) - IL i BUL
  Nina Johannessen (F, 1978) - IF Minerva
  Anne Margit Høyvik Solheim (F, 1979) - IL Hødd
  Marianne Pedersen (F, 1967) - Laksevåg TIL
  Åse Iren Larsen (F, 1979) - Lillehammer IF
  Karoline Myrland Hagen (F, 1994) - Strindheim IL
  Sissel Andersen (F, 1963) - IF Urædd
  Anne Karin Nilsen (F, 1968) - FIL Jarl
  Gerd Lahlum Lystad (F, 1990) - FIK Orion
  Marit Moen (F, 1967) - IL Jotun
  Christine Nordskag Olsen (F, 1981) - IF Sturla
  Kristine Berg (F, 1978) - IL Skjalg
  Anne-Lise Thoresen Andersen (F, 1934) - IL Tyrving
  Heidi Andersen (F, 1961) - IF Tønsberg-Kameratene
  Kristin Gussgard Gran (F, 1962) - Fossum IF
  Lena Moe (F, 1971) - Sørum IL
  Liv Paulsen (F, 1925) - IL Viking, Stavanger
  Rikke M. Iversen (F, 1958) - IF Urædd
  Cathrine Askildsen Henriksen (F, 1967) - IL Ivrig
  Berit Nilsen (F, 1969) - IL i BUL
  Kristine Berg (F, 1978) - IL Skjalg
  Kari Mo Larsen (F, 1938) - Ullensaker-Kisa IL
  Marit Moen (F, 1967) - IL Jotun
  Marianne Pedersen (F, 1967) - Laksevåg TIL
  Anne Margit Høyvik Solheim (F, 1979) - IL Hødd
  Camilla Ulvøy Johansen (F, 1983) - IL Tyrving
  Christine Bjelland Jensen (F, 1995) - IL Bjarg
